Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,Americas,https://public.flourish.studio/country-flags/svg/ca.svg,23.98058424,25.00431933,24.43773165,23.33767827,24.35162463,23.87124517,23.77944702,24.71735783,24.7726679,26.01034616,25.44834294,25.20014403,24.63528858,25.98307049,26.17415028,26.38655457,28.27272276,28.35819218,29.45639373,29.75701726,30.60611695,31.23136805,30.73459529,28.71008042,26.85521856,27.84402781,28.87730233,28.89931801,28.90069163,28.35537704,28.28861699,29.21739209,28.51048346,27.4326604,27.72104918,27.85363583,26.35527257,26.76413086,25.47978848,25.18900897,26.50025151,26.0459663,26.05366774,26.70744216,27.41440505,25.4276738,25.86884676,26.3067248,26.14986989,25.11136312,25.00707571,25.17459565,25.31032792,24.19943097,24.09811273
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,15.18787982,14.93260056,14.95293247,12.55872053,13.16269953,13.3481507,13.78710611,15.91059078,16.15507268,18.57720194,20.70635738,20.34447329,20.71694351,20.3591272,20.23635244,20.71090051,20.89987831,24.98042709,26.22337142,26.00696121,28.46269716,29.11204362,30.07708424,26.38201948,20.07574635,16.16179582,21.1914826,24.41330739,23.74467631,22.28744034,22.41846545,19.36001355,19.00034907,15.91658401,13.00114945,17.28189095,19.37815493,19.89534143,19.38126908,17.0007659,19.82822224,20.35665657,15.67356528,17.07354579,17.97846481,15.37402454,13.24782824,12.6624125,12.30504426,14.43665029,14.38706959,11.36320265,12.14904712,12.58950891,11.22640185
China,Asia,https://public.flourish.studio/country-flags/svg/cn.svg,4.005944115,3.750774055,3.595281111,4.199982272,3.509438605,2.832367609,2.889697353,3.037928656,3.216586732,3.530141169,3.29848755,3.174657735,3.038982451,2.596575294,2.831714289,3.330223688,3.798410875,4.131867996,4.508745195,4.221483246,4.153649356,4.055951009,3.978799258,4.042828475,4.178989418,4.416002844,4.135238276,4.115734511,4.441263742,4.613346088,5.094708482,4.776180203,4.950905498,5.017544192,4.791316704,5.238950833,6.146692502,5.819756429,4.892340288,5.178999443,5.08726562,5.061895039,5.153700883,6.481800647,5.966010564,6.407061532,5.707534321,6.840492608,6.913170512,7.825530793,8.100889462,8.230424535,8.020498102,7.907188673,7.993193367
Colombia,Americas,https://public.flourish.studio/country-flags/svg/co.svg,11.15345653,11.37189305,11.90846596,12.59591094,13.76695984,14.0456254,15.16579718,14.95523434,16.29940436,16.51535977,17.91248049,18.06787085,18.05611376,19.49554877,20.15796678,21.59457257,20.82824648,21.27686263,20.4130568,22.17959623,22.9532627,25.71442331,25.77287371,27.16357619,28.19808815,30.95617248,30.05417395,23.09031301,26.22121496,28.10627614,27.61721612,29.70261245,25.74132385,25.02788829,29.62388912,27.7966209,28.81115527,30.85309632,31.53701525,32.62617094,33.10697431,31.85000506,32.79033817,31.4800369,29.02228554,26.77027119,30.38555259,27.72862655,25.34700692,24.1014487,23.78952154,23.46070318,28.08107681,27.38262967,23.89588044
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59368098,19.50452903,15.14968524,15.1940173,17.99707639,18.18321539,23.52821014,17.61257399,17.13225956,20.19573244,18.79063694,19.77041461,15.94961535,14.11297483,18.90553429,17.51485603,16.56085595,11.60152922,14.28565956,18.48743628,22.3037453,13.94878151,14.42858437,23.45482888,24.39597935,18.08824341,18.50292251,14.21366162,19.64248501,15.36669455
Cyprus,Asia,https://public.flourish.studio/country-flags/svg/cy.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,1.323596678,1.238257738,1.133544682,0.840987615,0.65836198,0.902235724,0.606260608,0.630793224,0.536237638,0.892961153,0.855536703,0.663397472,0.873807914,0.801692942,0.994141149,1.074118205,0.929600957,0.762091888,0.754052511,0.572313964,0.735525955,0.81698126,1.049906608,0.890117943,0.718763535,0.590893574,0.608996512,0.808015256,0.795581505,0.871729578,1.147159042,1.090779059,0.981807543,0.831103991,1.044353557,1.033635462,1.172982577,1.411101495,0.736103178,1.041341236,1.237842759,1.294204825,1.060273823,1.048479307,1.307448361,1.433303203,1.116222317,1.166890094,1.514408498,1.030321472,0.979275309,1.102148485,0.980049034,0.850336558,1.058186199
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,0.04178219,0.038202113,0.036527358,0.029363059,0.026797652,0.027436686,0.029031124,0.027508992,0.028433143,0.031253713,0.027747825,0.022803473,0.030579653,0.031300198,0.033687469,0.040661517,0.047127918,0.042085874,0.048953857,0.043404567,0.037880711,0.035690925,0.038059289,0.042932918,0.032507912,0.038549903,0.030337794,0.035335535,0.033096534,0.036572497,0.034617575,0.01853012,0.020337644,0.030004782,0.034586455,0.03566566,0.032303722,0.037096959,0.022820024,0.030004239,0.026244895,0.024610995,0.031113071,0.029406142,0.022781059,0.023571928,0.020408037,0.022858086,0.01669288,0.019347134,0.023809518,0.025071296,0.022990172,0.019239463,0.021976633
Ecuador,Americas,https://public.flourish.studio/country-flags/svg/ec.svg,8.031153547,8.736665491,8.897190728,7.865754417,8.217625254,7.65281436,7.566780268,7.323153262,6.685486135,6.582968595,8.17231387,7.146328566,5.537001842,7.513879396,6.463342452,6.26514912,5.042204462,5.272545984,10.38566138,17.61191752,15.08484975,17.63728653,19.51597799,17.82502345,17.74259813,17.29646346,15.92789159,15.68456988,17.69863254,18.3946722,15.2678208,16.5030518,15.24688302,15.10207697,18.30064374,20.57671536,18.72607098,20.0777151,18.72612487,17.79643817,15.49834893,15.08642734,18.10957696,21.14947569,17.53156003,14.67404042,17.75878409,18.3765133,15.94257755,15.66382715,17.88280158,21.62612745,26.3226006,25.50596464,29.58005393
Egypt,Africa,https://public.flourish.studio/country-flags/svg/eg.svg,5.267081391,5.27384659,6.643201255,9.4101353,15.25642286,14.37770595,15.06061986,13.87173649,14.65854083,15.29545555,15.33130676,15.12094644,15.75082223,16.36338305,14.47616991,12.94972979,11.85718975,10.91032458,9.406326297,8.48154432,7.765997004,7.437644237,7.098606421,6.782005909,6.898610631,7.004864928,6.889676975,6.817988465,6.947919174,7.245439895,7.133701022,6.946642002,6.834836407,6.749859696,6.999624434,6.965114232,6.678247568,6.345370882,5.49744746,5.175059093,4.828655643,4.622596853,4.824649775,4.778277124,4.167486684,3.704222388,3.635312714,3.447877489,3.507635683,3.588272117,3.507880173,3.268752904,3.071884428,3.052567294,3.071747134
