Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Colombia,Americas,https://public.flourish.studio/country-flags/svg/co.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044255533,0.041769797,0.047136953,0.03697802,0.036768518,0.041010455,0.025460944,0.02589293,0.031972132,0.032923271,0.037827878,0.036404991,0.025512583,0.001504176,0.02679334,0.027605345
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004957732,0.024892904,0.047553126,0.086392961,0.098846128,0.134746122,0.339711857,0.557065277,0.981393968,1.40641965,1.977247812,2.252894277,2.737773291,3.224413883,3.406167807,3.787351363
Cyprus,Asia,https://public.flourish.studio/country-flags/svg/cy.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003075772,0.002729179,0.00275698,0.002704472,0.002634981,0.002684066,0.238679666,0.882192044,1.519756366,2.110174892,1.665231487,1.9366251,1.807655023,1.631644495,1.699854094,1.827330976
Czechia,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011477,0.00090616,0.002076381,0.00510513,0.011068018,0.025053036,0.06378922,0.126719971,0.15501751,0.172388935,0.207543088,0.218212443,0.253586032,0.257148037,0.31242079,0.273816174,0.309840898,0.318109423,0.369054061
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003478274,0.006969969,0.012520034,0.013939243,0.025696233,0.039602121,0.047716699,0.065558614,0.156737208,0.224988585,0.381820096,0.608131277,0.84024723,0.883965351,1.167740018,1.244641998,1.275533719,1.345044738,1.177950421,2.04877456,3.099325327,3.434887528,5.00865347,5.039841901,5.689333538,5.985968272,7.453640999,7.715065651,6.424170075,7.912001221,7.896340821,8.100302874,8.917696699,11.82490645,13.43352785,13.8362251,16.75368601,18.66232675,16.62852989,19.01230327,17.9945906,20.95542158
Ecuador,Americas,https://public.flourish.studio/country-flags/svg/ec.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193055,0.005022129,0.006089354,0.005839816,0.005339043,0.003599421,0.081895619,0.109016155,0.134918838,0.114669665,0.096174419,0.098997368,0.1025759
Egypt,Africa,https://public.flourish.studio/country-flags/svg/eg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062531,0.039550789,0.082940577,0.096353509,0.121513831,0.203288015,0.194805633,0.218773281,0.224794655,0.294308289,0.313848028,0.402934748,0.460580293,0.471711433,0.408873705,0.297418832,0.479682646,0.611455223,0.494027461,0.463629014,0.640388669
Estonia,Europe,https://public.flourish.studio/country-flags/svg/ee.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006894075,0.02746226,0.032533169,0.232822592,0.332770308,0.347919807,0.529277155,0.867671365,1.014344688,1.299428151,1.505874656,1.762460856,2.052197678,2.584033577,2.120233295,2.322384387,1.921896636,2.538288295
Finland,Europe,https://public.flourish.studio/country-flags/svg/fi.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000510729,0.002054557,0.003723936,0.005791418,0.009121771,0.008863441,0.013244148,0.017732954,0.038480054,0.059736111,0.052747051,0.046969362,0.063476703,0.083335814,0.127444515,0.107313942,0.131918503,0.188364955,0.214613092,0.208603934,0.365205248,0.385071406,0.595655839,0.887323121,1.86990786,2.366384251,3.828524522,4.610525756,4.922866243
France,Europe,https://public.flourish.studio/country-flags/svg/fr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80247E-05,4.88851E-05,4.87168E-05,0.000236446,0.000470808,0.000461581,0.000700357,0.001063172,0.001820119,0.003389504,0.004348566,0.011654574,0.023659078,0.034059291,0.051481749,0.083239841,0.189290084,0.358174755,0.49826274,0.729500628,0.884638279,1.108733148,1.366772432,1.448278559,1.620297136,1.973748388,2.009306526,2.284590675,2.576738482,3.216985556
Germany,Europe,https://public.flourish.studio/country-flags/svg/de.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60166E-05,0.000129465,0.000518146,0.001700442,0.004718856,0.006810321,0.019117423,0.041896299,0.064082467,0.105214487,0.137976005,0.204076024,0.311334739,0.388948981,0.665330818,0.717717136,1.086114734,1.281269847,1.738336212,1.870848333,2.052449196,2.760009845,2.771326487,2.799251995,2.66223044,3.555468136,3.619170053,3.565799809,4.107927216,5.525986734,5.357047913,6.958957334,7.385799566,8.624994949
Greece,Europe,https://public.flourish.studio/country-flags/svg/gr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148981,0.00108857,0.001005584,0.001905473,0.001893115,0.007456666,0.043126774,0.033367089,0.029595508,0.030507269,0.030516716,0.05667178,0.125971366,0.332551381,0.548518077,0.467359958,0.69287526,0.754677674,0.842165675,1.08796162,1.136092067,1.443083405,1.682153333,1.877846765,2.338152333,2.855745322,3.22563728,3.038049079,3.75881441,4.231654809,4.295166104,4.884035772,5.699197342
