Country,Region,Flag,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,Americas,https://public.flourish.studio/country-flags/svg/cl.svg,0,0,0,0,0,0,0.18921338,0.158269112,0.147262235,0.134277102,0.165315161,0.225058781,0.23781299,0.255502638,0.255404277,0.276283074,0.282084733,0.383922914,0.567402692,0.524046189,0.501369998,0.689039843,0.635644722,0.686961462,0.611241745,1.740641956,1.666515009,2.541933061,2.413452781,2.343496136,2.287658202,1.994120759,1.748265002,1.159494276,1.388499321,1.245355566,1.504311656,1.528165273,1.453400375,1.646620969,1.387755075,1.0324427,1.891928351,2.524654251,2.421721084,2.411065004,2.786773512,3.757628782,4.262557875,3.125918842,3.390142803,3.879284211,4.243792327,4.933729811,5.379456788
China,Asia,https://public.flourish.studio/country-flags/svg/cn.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002229022,0.002122088,0.003557105,0.003426535,0.012676977,0.080574759,0.038949972,0.068759388,0.062566237,0.061417623,0.059763973,0.056581131,0.05145571,0.043737812,0.037030442,0.068192906,0.082851261,0.104748355,0.151279063,0.202139217,0.224263939,0.229213627,0.238903088,0.28221635,0.341678374,0.39301136,0.443433097,0.547963173,0.618149398,0.647360624
Colombia,Americas,https://public.flourish.studio/country-flags/svg/co.svg,0,0,0,0,0,0,0,0,0,0,0.347857729,0.356890417,0.331683757,0.332692018,0.3283762,0.339308335,0.309525437,0.322541504,0.310862358,0.329976861,0.332339522,0.320634641,0.297109001,0.303547817,0.288488166,0.308479524,0.291591392,0.352350536,0.366165904,0.389262187,0.411803945,0.417498186,0.395000284,0.432557716,0.401720223,0.447404779,0.451756347,0.445977147,0.43152094,0.397505973,0.424590459,0.38896151,0.375869975,0.347357314,0.713009733,0.732654703,0.864859247,0.860182749,0.769292227,0.931331316,0.970543061,0.999745547,0.975146703,1.024318868,0.9492695
Croatia,Europe,https://public.flourish.studio/country-flags/svg/hr.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02089868,0.063446964,0.019867553,0.015996792,0.02992441,0.006019035,0.014225099,0.005513752,0.00291043,0,0,0,0.009915464,0.034851686,0.027531619,0.017280214,0.051894523,0.062383305,0.080653118,0.152431761,0.280399698,0.340043805,0.446911184,0.752849618,1.163688652,1.40760153,1.709206568,2.251927145
Cyprus,Asia,https://public.flourish.studio/country-flags/svg/cy.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001203709,0.010632315,0.088770668,0.203468602,0.269478421,0.402402151,0.410742322,0.447613969,0.457283032,0.447247842,0.414802315,0.39932655,0.395743273,0.459910144
Czechia,Europe,https://public.flourish.studio/country-flags/svg/cz.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128431174,0.184496885,0.232068032,0.161760498,0.285469713,0.34946878,0.424325898,0.303975072,0.293530975,0.279728358,0.260803894,0.299560149,0.337201645,0.462926923,0.605423939,0.75438801,1.002006405,1.102824455,1.414998456,1.757743933,2.118321528,2.51540091,2.614430328,2.626066932,2.602579642,2.520089527,2.596457653
Denmark,Europe,https://public.flourish.studio/country-flags/svg/dk.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048223926,0.047430812,0.045916156,0.063642536,0.078965871,0.104715964,0.178861678,0.289122998,0.424006529,0.664620149,0.876133814,0.643263888,0.739004728,0.798982031,1.033462236,1.184991746,1.495643104,1.534772338,1.769155958,2.192142728,2.683997482,3.295664081,3.702683948,3.228881522,3.425823113,3.579639308,4.00194638,5.245879249,5.29295072,5.815570636,5.365558316,5.510714452,5.546634822,6.391594031,8.19114917,7.828486708,8.366500678
Ecuador,Americas,https://public.flourish.studio/country-flags/svg/ec.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007778511,0.231613354,0.308008019,0.438332017,0.390137982,0.411464809,0.40023774,0.443769271,0.44501109,0.427180946,0.546109069,0.556783041,0.66897654,0.564554043,0.527892695,0.545352054
Egypt,Africa,https://public.flourish.studio/country-flags/svg/eg.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Europe,https://public.flourish.studio/country-flags/svg/ee.svg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028310691,0.022376762,0.036196657,0.058032222,0.063288497,0.067004741,0.054182539,0.132939427,0.117050394,0.132701594,0.142544799,0.165731429,0.137638903,0.15122291,1.397172622,2.717124981,2.764815822,3.473227488,2.222231911,2.51428169,2.814939535,3.158934229,5.408934153,3.753137573,4.450158303
